,participant_id,age,agent,color,video_order,video_url,rating_enjoyment,rating_danger,rating_map_difficulty,perceived_playing_style,game_familiarity,watch_gaming_frequency,model_name,amplitude_condition,danger_condition,danger_score,map_difficulty_condition,map_difficulty_score,trajectory_unit,trajectory_model,trajectory
2879,6288-dccb5c63-c457-459b-883e-932578cd28dd,46,low_danger_high_difficulty,yellow,4,unlimited_trajectory_high_amplitude_low_danger_0.044_high_difficulty_65.33_yellow.mp4,,,0.0,0.0,0.0,0.0,unlimited,high,low,0.43999999999999995,high,0.6533,unlimited_trajectory_high_amplitude_low_danger_0.044_high_difficulty,unlimited,unlimited_high_amplitude
2880,0040-3efa24d2-01a3-4621-93bc-bf84649afebd,67,high_danger_high_difficulty,blue,1,unlimited_trajectory_high_amplitude_high_danger_0.052_high_difficulty_65.33_blue.mp4,54.0,,,3.0,0.0,0.0,unlimited,high,high,0.52,high,0.6533,unlimited_trajectory_high_amplitude_high_danger_0.052_high_difficulty,unlimited,unlimited_high_amplitude
2881,0040-3efa24d2-01a3-4621-93bc-bf84649afebd,67,low_danger_high_difficulty,yellow,2,unlimited_trajectory_high_amplitude_low_danger_0.044_high_difficulty_65.33_yellow.mp4,49.0,,,3.0,0.0,0.0,unlimited,high,low,0.43999999999999995,high,0.6533,unlimited_trajectory_high_amplitude_low_danger_0.044_high_difficulty,unlimited,unlimited_high_amplitude
2882,0040-3efa24d2-01a3-4621-93bc-bf84649afebd,67,high_danger_low_difficulty,green,3,unlimited_trajectory_low_amplitude_high_danger_0.047_low_difficulty_48.00_green.mp4,50.0,,,3.0,0.0,0.0,unlimited,low,high,0.47,low,0.48,unlimited_trajectory_low_amplitude_high_danger_0.047_low_difficulty,unlimited,unlimited_low_amplitude
2883,0040-3efa24d2-01a3-4621-93bc-bf84649afebd,67,low_danger_low_difficulty,red,4,unlimited_trajectory_low_amplitude_low_danger_0.039_low_difficulty_48.00_red.mp4,49.0,,,3.0,0.0,0.0,unlimited,low,low,0.39,low,0.48,unlimited_trajectory_low_amplitude_low_danger_0.039_low_difficulty,unlimited,unlimited_low_amplitude
2884,8794-4e00a305-94b9-44a4-b632-7bbdfe91bf86,51,high_danger_high_difficulty,green,1,mr_5_2_20_trajectory_high_amplitude_high_danger_0.062_high_difficulty_70.33_green.mp4,87.0,,,19.0,0.0,2.0,mr_5_2_20,high,high,0.62,high,0.7033,mr_5_2_20_trajectory_high_amplitude_high_danger_0.062_high_difficulty,mr_5_2_20,mr_5_2_20_high_amplitude
2885,8794-4e00a305-94b9-44a4-b632-7bbdfe91bf86,51,low_danger_high_difficulty,red,2,mr_5_2_20_trajectory_high_amplitude_low_danger_0.048_high_difficulty_70.00_red.mp4,82.0,,,19.0,0.0,2.0,mr_5_2_20,high,low,0.48,high,0.7,mr_5_2_20_trajectory_high_amplitude_low_danger_0.048_high_difficulty,mr_5_2_20,mr_5_2_20_high_amplitude
2886,8794-4e00a305-94b9-44a4-b632-7bbdfe91bf86,51,high_danger_low_difficulty,blue,3,mr_5_2_20_trajectory_low_amplitude_high_danger_0.050_low_difficulty_46.00_blue.mp4,78.0,,,19.0,0.0,2.0,mr_5_2_20,low,high,0.5,low,0.46,mr_5_2_20_trajectory_low_amplitude_high_danger_0.050_low_difficulty,mr_5_2_20,mr_5_2_20_low_amplitude
2887,8794-4e00a305-94b9-44a4-b632-7bbdfe91bf86,51,low_danger_low_difficulty,yellow,4,mr_5_2_20_trajectory_low_amplitude_low_danger_0.039_low_difficulty_46.00_yellow.mp4,82.0,,,19.0,0.0,2.0,mr_5_2_20,low,low,0.39,low,0.46,mr_5_2_20_trajectory_low_amplitude_low_danger_0.039_low_difficulty,mr_5_2_20,mr_5_2_20_low_amplitude
2888,4356-ba5d05ef-e373-4d98-af9d-dfed9417f25c,33,high_danger_high_difficulty,red,1,mr_5_2_20_trajectory_high_amplitude_high_danger_0.062_high_difficulty_70.33_red.mp4,,,97.0,8.0,0.0,1.0,mr_5_2_20,high,high,0.62,high,0.7033,mr_5_2_20_trajectory_high_amplitude_high_danger_0.062_high_difficulty,mr_5_2_20,mr_5_2_20_high_amplitude
